name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
The Neverhood,DreamWorks Interactive,31st Oct 96,PC,,,,,
The New Addams Family,7th Sense,17th Dec 01,GB,,,,,
The New Adventures of Mary-Kate & Ashley,Crawfish Interactive,01st Dec 99,GB,,,,,
The New Adventures of Moomin: The Great Autumn Party,Prelusion Games,29th Sep 09,DS,,,,,
The New Adventures of Moomin: The Mysterious Howling,Graffiti Entertainment,29th Sep 09,DS,,,,,
The New Adventures of Moomin: The Mysterious Howling,Graffiti Entertainment,01st Jan 70,PC,,,,,
The New Zealand Story,Aisystem Tokyo,23rd Feb 90,PCE,,,,,
The New Zealand Story,TecMagik,01st Jan 92,MS,,,,,
The New Zealand Story,Taito Corporation,03rd Mar 90,GEN,,,,,
The New Zealand Story,Aisystem Tokyo,14th Oct 08,VC,,,,,
The Next Tetris,Blue Planet Software,04th Oct 99,PC,,,,,
The Nightmare Cooperative,Lucky Frame,16th Jul 14,Linux,,,,,
The Nightmare Cooperative,Lucky Frame,16th Jul 14,OSX,,,,,
The Nightmare Cooperative,Lucky Frame,16th Jul 14,PC,,,,,
The Ninja,Sega,01st Jan 87,MS,,,,,
The Ninja Warriors,Taito Corporation,30th Jun 89,PCE,,,,,
The Ninja Warriors,Taito Corporation,12th Mar 93,SCD,,,,,
The Note,Team Bughouse,01st Oct 97,PS,,,,,
The Oddboxx,Oddworld Inhabitants,20th Dec 10,PC,,,,,
The Oni Taiji: Mokushi Se! Ni Yome Momotarou,Nippon Ichi Software,13th Oct 95,PS,,,,,
The Ooze,Sega Technical Institute,01st Jan 95,GEN,,,,,
The Operational Art of War II: Modern Battles 1956 - 2000,Norm Koger,30th Apr 99,PC,,,,,
The Oracle,loidl,04th Aug 09,XBL,,,,,
The Orb & the Oracle,,,PC,,,,,
The Oregon Trail,MECC,01st Jan 93,PC,,,,,
The Oregon Trail,Gameloft,,WW,,,,,
The Oregon Trail,Gameloft,28th Dec 09,DSiW,,,,,
The Oregon Trail 3rd Edition,The Learning Company,01st Jan 97,PC,,,,,
The Oregon Trail 4th Edition,The Learning Company,01st Aug 00,PC,,,,,
The Oregon Trail 5th Edition,The Learning Company,01st Apr 01,PC,,,,,
The Oregon Trail II,MECC,13th Feb 95,PC,,,,,
The Otherside: Realm of Eons,Vogat Interactive,11th Feb 10,PC,,,,,
The Ottifants,Sega,01st Jan 93,GG,,,,,
The Ottifants,Sega,01st Jan 93,MS,,,,,
The Ottifants,Graftgold,01st Jan 93,GEN,,,,,
The Pagemaster,Probe Entertainment Limited,01st Nov 94,SNES,,,,,
The Pagemaster,Probe Entertainment Limited,01st Nov 94,GB,,,,,
The Pagemaster,Probe Software Ltd.,01st Jan 94,GEN,,,,,
The Pandora Directive,Access Software,31st Jul 96,PC,,,,,
The Path,Tale of Tales,18th Mar 09,PC,,,,,
The Path of Go,Microsoft Research,15th Dec 10,XBL,,,,,
The Patrician,Ascon,01st Jan 92,PC,,,,,
The Peace Keepers,Jaleco Entertainment,01st Jan 94,SNES,,,,,
The Penguins of Madagascar,THQ,,3DS,,,,,
The Penguins of Madagascar: Dr. Blowhole Returns - Again,Unknown,28th Mar 14,PC,,,,,
The Perfect General,Game Guild,01st Jan 96,3DO,,,,,
The Perfect General,White Wolf Productions,01st Jan 91,PC,,,,,
The Perfect General II,Quantum Quality Productions,01st Jan 94,PC,,,,,
The Perfect Match,Onion Factory,18th Jan 09,XBL,,,,,
The Periodic Table,Wiley,29th Jul 09,XBL,,,,,
The Pinball Arcade,FarSight Studios,15th Nov 13,PS4,,,,,
The Pirates of Dark Water,Iguana Entertainment,01st Jan 94,SNES,,,,,
The Pirates of Dark Water,Iguana Entertainment,01st Jan 94,GEN,,,,,
The Polar Express,Blue Tongue,03rd Nov 04,PC,,,,,
The Political Machine,Stardock,12th Aug 04,PC,,,,,
The PowerPuff Girls Learning Challenge #1- Mojo Jojo's Clone Zone,The Learning Company,22nd Jan 02,PC,,,,,
The Powerpuff Girls: Paint the Townsville Green,Sennari Int.,01st Nov 00,GB,,,,,
The Precursors,Deep Shadows,21st Dec 10,PC,,,,,
The Precursors,Deep Shadows,,X360,,,,,
The Price is Right,Ludia Inc.,22nd Sep 08,PC,,,,,
The Price is Right,Ludia Inc.,09th Apr 10,DSiW,,,,,
The Price is Right,Ludia Inc.,18th May 10,PSN,,,,,
The Price is Right 2010 Edition,Ludia Inc.,22nd Sep 09,PC,,,,,
The Price is Right: Decades,Ludia Inc.,01st Jan 70,PC,,,,,
The Princess and the Frog,Griptonite Games,17th Nov 09,PC,,,,,
The Promised Land,Unknown,25th Apr 14,PC,,,,,
The Punisher,Sculptured Software,01st Jan 94,GEN,,,,,
The Punisher,Beam Software,01st Nov 90,NES,,,,,
The Punisher (1990),Paragon Software Corporation,01st Jan 90,PC,,,,,
The Punisher (2005),Unknown,04th Mar 05,PS2,,,,,
The Punisher (2005),Unknown,04th Mar 05,XB,,,,,
The Punisher (2005),Unknown,04th Mar 05,PC,,,,,
The Punisher: No Mercy,Zen Studios,02nd Jul 09,PSN,,,,,
The Punisher: The Ultimate Payback,Beam Software,01st Jul 91,GB,,,,,
The Puzzle,D3 Publisher,01st Mar 01,PS,,,,,
The Puzzle 2,Axes Art Amuse,01st Jan 03,PS,,,,,
The Quest for Aladdin's Treasure,Oxygen Interactive,07th Aug 07,PC,,,,,
The Quest for Aladdin's Treasure,Oxygen Interactive,09th Jul 07,PS2,,,,,
The Quest For Glory Collection Series,Sierra Entertainment,01st Jan 96,PC,,,,,
The Quiz Gear Fight!!,Sega,07th Apr 95,GG,,,,,
The Rabbit's Apprentice,Unknown,28th May 13,OSX,,,,,
The Rainbow Colored Deer Games,Unknown,01st Jan 15,PSV,,,,,
The Rainbow Colored Deer Games,Unknown,01st Jan 15,3DS,,,,,
The Rainbow Colored Deer Games,Unknown,01st Jan 15,WiiU,,,,,
The Rainbow Colored Deer Games,Unknown,06th Feb 14,PC,,,,,
The Rainbow Colored Deer Games,Unknown,06th Feb 14,OSX,,,,,
The Rainbow Colored Deer Games,Unknown,06th Feb 14,And,,,,,
The Rapid Angel,Techno Soleil,13th Aug 98,PS,,,,,
The Rapid Angel,Techno Soleil,05th Jul 11,PSN,,,,,
The Real Ghostbusters,Kemco,01st Oct 93,GB,,,,,
The Red Crystal,Quantum Quality Productions,01st Jan 94,PC,,,,,
The Red Solstice,Unknown,01st Oct 14,PC,,,,,
The Red Star,Archangel Studios,23rd Apr 07,PS2,,,,,
The Red Star,Archangel Studios,18th Mar 10,PSN,,,,,
The Ren & Stimpy Show: Fire Dogs,Argonaut Games,01st Jun 94,SNES,,,,,
The Ren & Stimpy Show: Time Warp,Sculptured Software,01st Nov 94,SNES,,,,,
The Ren & Stimpy Show: Veediots!,Gray Matter,01st Oct 93,SNES,,,,,
The Ren & Stimpy Show Presents: Stimpy's Invention,Blue Sky Software,01st Jan 93,GEN,,,,,
The Ren & Stimpy Show: Buckaroo$!,Imagineering Inc.,01st Apr 95,SNES,,,,,
The Ren & Stimpy Show: Buckaroo$!,Imagineering Inc.,01st Nov 93,NES,,,,,
The Ren & Stimpy Show: Space Cadet Adventures,Imagineering Inc.,01st Nov 92,GB,,,,,
The Ren & Stimpy Show: Veediots!,THQ,01st Oct 93,GB,,,,,
The Renai Adventure: Bitter Sweet Fools,HuneX,29th Aug 02,DC,,,,,
The Renai Adventure: Okaeri!!,HuneX,26th Sep 02,DC,,,,,
The Renai Simulation 2: Fureai,HuneX,26th Sep 02,DC,,,,,
The Renai Simulation: Natsuiro Celebration,HuneX,26th Sep 02,DC,,,,,
The Residents: Freak Show,"Cryptic Corporation, The",01st Jan 94,PC,,,,,
The Revenge of Shinobi,Sega,02nd Dec 89,GEN,,,,,
The Revenge of Shinobi,Sega,17th Aug 09,VC,,,,,
The Revenge of Shinobi,Sega,,PSN,,,,,
The Rhythm of Fighters,SNK Playmore,24th Jun 14,And,,,,,
The Ring: Terror's Realm,"Asmik Ace Entertainment, Inc",22nd Aug 00,DC,,,,,
The Rocketeer,NovaLogic,01st May 92,SNES,,,,,
The Rocketeer,Realtime Associates,01st May 91,NES,,,,,
The Rocketeer,NovaLogic,01st Jan 91,PC,,,,,
The Rockin' Dead,bitComposer Games,01st Jan 70,PC,,,,,
The Roots: Gates of Chaos,Cenega Publishing,15th Aug 05,NGage,,,,,
The Royal Marines Commando,City Interactive,14th Nov 08,PC,,,,,
The Royal Trap,Unknown,23rd Feb 13,PC,,,,,
The Royal Trap,Unknown,23rd Feb 13,OSX,,,,,
The Royal Trap,Unknown,23rd Feb 13,Linux,,,,,
The Rugrats Movie,Software Creations,01st Dec 98,GB,,,,,
The Rugrats Movie (GBC),Software Creations,28th Feb 99,GB,,,,,
The Sacred Amulet,Cryo Interactive,01st Jan 00,PC,,,,,
The Sacred Rings,Streko-Graphics Inc.,07th Mar 07,PC,,,,,
The Saga of Ryzom,Nevrax,20th Sep 04,PC,,,,,
The Samaritan Paradox,Unknown,20th Mar 14,PC,,,,,
The San Diego Zoo Presents: The Animals!,Arnowitz Studios,01st Jun 94,SCD,,,,,
The Sci-Fi Collection,"Infocom, Inc.",01st Jan 95,PC,,,,,
The Scourge Project,Tragnarion Studios,,PC,,,,,
The Scourge Project,Tragnarion Studios,,PS3,,,,,
The Scourge Project,Tragnarion Studios,,X360,,,,,
The Search for Amelia Earhart,Bamtang,23rd Feb 10,PC,,,,,
The Second Guest,Twice Effect,,PC,,,,,
The Secret of Monkey Island,Lucasfilm Games,01st Jan 90,PC,,,,,
The Secret of Monkey Island,"JVC Musical Industries, Inc.",01st Jan 92,SCD,,,,,
The Secret of Monkey Island,Unknown,23rd Jul 09,PS3,,,,,
The Secret of Monkey Island,Unknown,15th Jul 09,X360,,,,,
The Secret of Monkey Island: Special Edition,LucasArts,15th Jul 09,XBL,,,,,
The Secret of Monkey Island: Special Edition,LucasArts,15th Jul 09,PC,,,,,
The Secret of Monkey Island: Special Edition,LucasArts,22nd Apr 10,PSN,,,,,
The Secret Saturdays: Beasts of the 5th Sun,High Voltage Software,21st Oct 09,PSN,,,,,
The Secret Society - Hidden Mystery,Unknown,06th Jun 13,And,,,,,
The Secret World,Funcom,,X360,,,,,
The Secrets of Atlantis: The Sacred Legacy,Atlantis Interactive Entertainment,29th May 07,PC,,,,,
The Seller,CIRCLE Entertainment,17th Jan 11,DSiW,,,,,
The Sentinel,Firebird Software,22nd Dec 06,PC,,,,,
"The Settlers II: Veni, Vidi, Vici",Blue Byte Software,31st Aug 96,PC,,,,,
The Settlers III: Quest of the Amazons,Blue Byte,20th Dec 98,PC,,,,,
The Settlers: Rise of an Empire Gold Edition,Blue Byte,22nd Sep 08,PC,,,,,
The Seven Cities of Gold,Ozark Softscape,01st Jan 84,PC,,,,,
The Seventh Seal - The Resurrection of the Dark Lord,Soft-World,03rd Jan 03,PC,,,,,
The Sexy Brutale,Tequila Works,12th Apr 17,XOne,,,,,
The Sexy Brutale,Tequila Works,11th Apr 17,PC,,,,,
The Shadow of Zorro,In Utero,08th Feb 02,PS2,,,,,
The Shadow of Zorro,In Utero,06th Feb 03,PC,,,,,
The Shadows in the Underworld,Totabiento,30th Mar 10,XBL,,,,,
The Shanghai,SunSoft,02nd May 00,PS,,,,,
The Shield: The Game,Point of View,22nd Jan 07,PC,,,,,
The Shield: The Game,Point of View,09th Jan 07,PS2,,,,,
The Shinri Game,Visit,01st Feb 01,DC,,,,,
The Shinri Game IV: Itsumo Shin ni Hoshizora o,Visit,05th Nov 98,PS,,,,,
The Ship,Outerlight,09th Apr 07,PC,,,,,
The Ship,Outerlight,,PSN,,,,,
The Ship,Outerlight,,XBL,,,,,
The Showdown Effect,Unknown,05th Mar 13,PC,,,,,
The Showdown Effect,Arrowhead Game Studios,05th Mar 13,OSX,,,,,
The Shutokou Racing,Pony Canyon,18th Dec 98,GB,,,,,
The Silent Hill Collection,Konami,21st Apr 06,PS2,,,,,
The SimCity Box,Maxis,30th Jun 08,PC,,,,,
The Simple 2960 Tomodachi Series Vol. 3: The Itsudemo Puzzle - Massugu Soroete Straws,BeeWorks,18th Dec 03,GBA,,,,,
The Simpsons Arcade Game,Novotrade International,01st Jan 91,PC,,,,,
The Simpsons: Bart & the Beanstalk,Software Creations,01st Feb 94,GB,,,,,
The Simpsons: Bart Meets Radioactive Man,Imagineering Inc.,01st Jan 92,GG,,,,,
The Simpsons: Bart vs. the Juggernauts,Imagineering Inc.,01st Sep 92,GB,,,,,
The Simpsons: Bart vs. the Space Mutants,Imagineering Inc.,01st Feb 91,NES,,,,,
The Simpsons: Bart vs. the Space Mutants,Arc Developments,01st Jan 92,GEN,,,,,
The Simpsons: Bart vs. the Space Mutants,Imagineering Inc.,01st Jan 92,GG,,,,,
The Simpsons: Bart vs. the Space Mutants,Imagineering Inc.,01st Jan 91,MS,,,,,
The Simpsons: Bart vs. the Space Mutants,Imagineering Inc.,01st Jan 97,PC,,,,,
The Simpsons: Bart vs. the World,Flying Edge,01st Jan 93,GG,,,,,
The Simpsons: Bart vs. the World,Imagineering Inc,01st Feb 91,NES,,,,,
The Simpsons: Bart's House of Weirdness,"Distinctive Software, Inc.",01st Jan 92,PC,,,,,
The Simpsons: Bart's Nightmare,Sculptured Software,01st Sep 92,SNES,,,,,
The Simpsons: Bart's Nightmare,"Sculptured Software, Inc.",01st Jan 93,GEN,,,,,
The Simpsons: Bartman Meets Radioactive Man,Imagineering Inc.,01st Dec 92,NES,,,,,
The Simpsons: Night of the Living Treehouse of Horror,Software Creations,26th Mar 01,GB,,,,,
The Simpsons: Virtual Springfield,Digital Evolution,01st Jan 97,PC,,,,,
The Sims 2,Maxis,30th Sep 09,PSN,,,,,
The Sims 2: Castaway,Maxis,30th Sep 09,PSN,,,,,
The Sims 2: Mansion & Garden Stuff,Maxis Software,17th Nov 08,PC,,,,,
The Sims 2: Pets,Maxis,07th Nov 06,GBA,,,,,
The Sims 2: Pets,Maxis,30th Sep 09,PSN,,,,,
The Sims 3,Edge of Reality,02nd Jun 09,OSX,,,,,
The Sims 3,Edge of Reality,15th Oct 10,WinP,,,,,
The Sims 3,Edge of Reality,26th Oct 10,And,,,,,
The Sims 3 (Mobile Versions),EA mobile,05th May 09,WinP,,,,,
The Sims 3: Commemorative Edition,EA Redwood Shores,03rd Jun 10,PC,,,,,
The Sims 3: Pets,Unknown,06th Sep 11,And,,,,,
The Sims 3: Showtime,Unknown,26th Oct 10,DS,,,,,
The Sims 3: Showtime,Unknown,26th Oct 10,PS3,,,,,
The Sims 3: Showtime,Unknown,26th Oct 10,X360,,,,,
The Sims 3: Showtime,Unknown,27th Mar 11,3DS,,,,,
The Sims 3: Showtime,Unknown,15th Nov 10,Wii,,,,,
The Sims 4,Unknown,17th Feb 15,OSX,,,,,
The Sims 4: Cool Kitchen Stuff,Unknown,11th Aug 15,PC,,,,,
The Sims 4: Get to Work,Unknown,31st Mar 15,PC,,,,,
The Sims 4: Outdoor Retreat,Unknown,13th Jan 15,PC,,,,,
The Sims 4: Perfect Patio Stuff,Unknown,16th Jun 15,PC,,,,,
The Sims 4: Spooky Stuff,Unknown,29th Sep 15,PC,,,,,
The Sims Carnival: SnapCity,Electronic Arts,15th Jan 08,PC,,,,,
The Sims Castaway Stories,Unknown,29th Jan 08,PC,,,,,
The Sims FreePlay,Unknown,15th Feb 12,And,,,,,
The Sims Online,Unknown,17th Dec 02,PC,,,,,
The Sims: Bustin' Out,Ideaworks3D,12th May 04,NGage,,,,,
The Smurfs,IMPS,01st Jan 94,GG,,,,,
The Smurfs,Bit Managers,01st Jan 94,GB,,,,,
The Smurfs,Infogrames,01st Jan 96,MS,,,,,
The Smurfs,Infogrames,01st Jan 94,SNES,,,,,
The Smurfs,Virtual Studio,01st Jan 95,GEN,,,,,
The Smurfs,Infogrames,01st Jan 94,NES,,,,,
The Smurfs,Infogrames,01st Jan 95,SCD,,,,,
The Smurfs,Ubisoft,19th Jul 11,Wii,,,,,
The Smurfs Travel The World,Infogrames,01st Jan 95,GB,,,,,
The Smurfs Travel the World,Infogrames,01st Jan 96,MS,,,,,
The Smurfs Travel The World,Virtual Studio,01st Jan 94,SNES,,,,,
The Smurfs Travel The World,Visual Studio,01st Jan 96,GEN,,,,,
The Smurfs' Nightmare,Velez & Dubail,01st Jan 97,GB,,,,,
The Smurfs' Nightmare (GBC),Velez & Dubail,28th Feb 99,GB,,,,,
The Sniper 2,Beastmedia / X-Road,05th Mar 04,PS2,,,,,
The Snow Queen Quest,Oxygen Interactive,16th Feb 07,PC,,,,,
The Snow Queen Quest,Oxygen Interactive,16th Feb 07,PS2,,,,,
The Sopranos: Road to Respect,7 Studios,07th Nov 06,PS2,,,,,
The Space Adventure,Hudson Soft,01st Jan 94,SCD,,,,,
The Spatials,Weird and Wry,30th Mar 15,OSX,,,,,
The Spatials,Weird and Wry,30th Mar 15,PC,,,,,
The Spiderwick Chronicles,Stormfront Studios,05th Feb 08,PS2,,,,,
The Stomping Land,Unknown,30th May 14,PC,,,,,
The Story of a Star,Unknown,14th May 14,And,,,,,
The Suffering: Ties That Bind,Surreal Software,02nd Oct 05,PC,,,,,
The Suite Life of Zack & Cody: Tipton Caper,Artificial Mind and Movement,19th Oct 06,GBA,,,,,
The Sum of All Fears,Red Storm Entertainment,,PS2,,,,,
The Sum of All Fears,Red Storm Entertainment,30th May 02,PC,,,,,
The Summoning,Event Horizon Software,01st Jan 92,PC,,,,,
The Sun at Night,Minicore Studios,01st Aug 14,PC,,,,,
The Super Aquatic Games starring The Aquabats,Millenium Interactive,01st Oct 93,SNES,,,,,
The Surfer,Bungarra Software,,PS3,,,,,
The Surfer,Bungarra Software,,PC,,,,,
The Swapper,Unknown,25th Jun 14,PSV,,,,,
The Swapper,Unknown,25th Jun 14,PS4,,,,,
The Swapper,Unknown,25th Jun 14,PS3,,,,,
The Swapper,Facepalm Games,18th Feb 14,OSX,,,,,
The Swapper,Facepalm Games,06th Nov 14,WiiU,,,,,
The Swapper,Facepalm Games,18th Feb 14,Linux,,,,,
The Swindle,Size Five Games,,PC,,,,,
The Sword of Etheria,Konami Computer Entertainment Tokyo,24th Feb 06,PS2,,,,,
The Sword of Hope,Kemco,01st Jun 91,GB,,,,,
The Sword of Hope,Kemco,07th Dec 11,3DS,,,,,
The Tale of Despereaux,Sensory Sweep Studios,16th Dec 08,PC,,,,,
The Tales of Bearsworth Manor: Chaotic Conflicts,Square Enix,21st Jun 10,WW,,,,,
The Tales of Bearsworth Manor: Puzzling Pages,Square Enix,21st Jun 10,WW,,,,,
The Talos Principle,Croteam,11th Dec 14,Linux,,,,,
The Talos Principle,Croteam,11th Dec 14,OSX,,,,,
The Talos Principle,Croteam,28th May 15,And,,,,,
The Tekkyu Fight! Great Battle Gaiden,Banpresto,30th Jul 93,GB,,,,,
The TEMPURA of the DEAD,JPN 8bits fanatics,09th Nov 10,XBL,,,,,
The Tenpura of the Dead,8bits fanatics,,XBL,,,,,
The Terminator,Radical Entertainment,01st Dec 92,NES,,,,,
The Terminator,Probe Entertainment Limited,01st Jan 92,GG,,,,,
The Terminator,Virgin Interactive,08th Mar 93,SCD,,,,,
The Terminator,Probe Entertainment Limited,01st Jan 90,MS,,,,,
The Terminator,Probe Entertainment Limited,01st Jan 91,GEN,,,,,
The Terminator,Mindscape Inc.,01st Apr 93,SNES,,,,,
The Terminator,Big Head Games,25th Feb 10,PSN,,,,,
The Terminator,"Media Technology, Inc.",01st Jan 90,PC,,,,,
The Terminator: Future Shock,Bethesda Softworks LLC,01st Jan 95,PC,,,,,
The Third Courier,"Synergistic Software, Inc.",,PC,,,,,
The Third World War,Micronet,01st Jan 94,SCD,,,,,
The Thirty Nine Steps,TBA,29th Jun 12,PC,,,,,
The Thirty Nine Steps,TBA,,PS3,,,,,
The Three Investigators,TBD,,DS,,,,,
The Three Musketeers: One for All!,Legendo Entertainment,27th Jul 09,WW,,,,,
The Three Musketeers: One for All!,Legendo Entertainment,01st Jan 05,PC,,,,,
The Three Stooges,Beam Software,01st Oct 89,NES,,,,,
The Three Stooges,Flying Tiger Development,07th Feb 04,PS,,,,,
The Three Stooges: Treasure Hunt Hijinks,eGames,10th Nov 08,PC,,,,,
The Tick,Fox,01st Jan 94,GEN,,,,,
The Tick,Fox,04th Mar 94,SNES,,,,,
The Time Warp of Dr. Brain,Sierra Entertainment,01st Jun 96,PC,,,,,
The Tomorrow Children,Q Games,06th Sep 16,PS4,,,,,
The Tower,Open Book,08th Mar 96,3DO,,,,,
The Tower,Open Book,01st Mar 96,SAT,,,,,
The Tower,Unknown,04th Aug 14,PC,,,,,
The Tower DS,DigiToys,26th Jun 08,DS,,,,,
The Tower DS Classic,DigiToys,26th Aug 09,DSiW,,,,,
The Tower DS: Kougai Ekimae Ichiba ni Idome!! Kyodai Shopping Center Hen,DigiToys,21st Oct 09,DSiW,,,,,
The Tower DS: Ura Roji no Nitouchi ni Ichiryuu Hotel o Kensetsuseyo!! Hen,DigiToys,30th Sep 09,DSiW,,,,,
The Tower of Druaga,Namco,05th Dec 03,GC,,,,,
The Tower of Druaga,Namco,06th Aug 85,NES,,,,,
The Tower of Druaga,Namco,25th Sep 07,VC,,,,,
The Tower of Druaga,Angel Studios,31st Dec 90,GB,,,,,
The Tower of Druaga,Game Studio,25th Jun 92,PCE,,,,,
The Tower of Druaga (Arcade),Namco,23rd Mar 09,VC,,,,,
The Towers of Cedrick,wizlon,04th Jun 09,XBL,,,,,
The Town of Light,LKA,24th Mar 17,PC,,,,,
The Train Giant,Unknown,,PC,,,,,
The Train: Escape to Normandy,"Artech Digital Entertainments, Inc.",20th Sep 88,PC,,,,,
The Trash Pack,Unknown,30th Oct 12,DS,,,,,
The Trash Pack,Unknown,30th Oct 12,3DS,,,,,
The Traveller,AGENIUS Interactive AS,,DSiW,,,,,
The Treasures of Montezuma,"Alawar Entertainment, Inc.",,PSN,,,,,
The Treasures of Montezuma 3,Unknown,15th Jun 11,PC,,,,,
The Treasures of Montezuma 3,Unknown,22nd Sep 11,OSX,,,,,
The Treasures of Montezuma 3,Unknown,27th Sep 12,And,,,,,
The Trials of Topoq,SCEE London Studio,20th Dec 07,PSN,,,,,
The Tribez,Unknown,11th Oct 12,BRW,,,,,
The Tribez,Unknown,11th Oct 12,And,,,,,
The Tribez & Castlez,Unknown,19th Feb 14,And,,,,,
The Twisted Tales of Spike McFang,RED Company,01st Jun 94,SNES,,,,,
The Typing of the Dead 2,WOW Overworks,06th Mar 08,PC,,,,,
The Typing of the Dead: Zombie Panic,Smilebit,22nd Dec 04,PS2,,,,,
The Ugly Duckling Games by eBo,Unknown,01st Jan 15,WiiU,,,,,
The Ugly Duckling Games by eBo,Unknown,01st Apr 14,PC,,,,,
The Ugly Duckling Games by eBo,Unknown,01st Apr 14,Linux,,,,,
The Ugly Duckling Games by eBo,Unknown,01st Apr 14,OSX,,,,,
The Ugly Duckling Interactive Game Book,Unknown,01st Jan 15,And,,,,,
The Ugly Duckling Interactive Game Book,Unknown,01st Apr 14,OSX,,,,,
The Ugly Duckling Interactive Game Book,Unknown,01st Apr 14,PC,,,,,
The Ultimate Doom,id Software,30th Apr 95,PC,,,,,
The Ultimate Haunted House,Byron Preiss Multimedia,,PC,,,,,
The Ultimate Stuntman,Codemasters,01st Jan 90,NES,,,,,
The Ultimate Wizardry Archives,Sir-Tech Software Inc.,01st Jan 98,PC,,,,,
The Uncanny X-Men,"LJN Toys, Ltd.",01st Dec 89,NES,,,,,
The UnderGarden,Vitamin G Studios,29th Oct 10,XBL,,,,,
The UnderGarden,Vitamin G Studios,01st Feb 11,PSN,,,,,
The UnderGarden,Vitamin G Studios,10th Nov 10,PC,,,,,
The Unfinished Swan,Unknown,16th Oct 12,PS3,,,,,
The Unfinished Swan,Idol Minds Digital Entertainment,28th Oct 14,PSV,,,,,
The Unfinished Swan,Idol Minds Digital Entertainment,28th Oct 14,PS4,,,,,
The Uranai,Visit,11th Nov 99,PS,,,,,
The Uranai 2,Visit,18th Nov 99,PS,,,,,
The Uranai 3,Visit,24th Aug 00,PS,,,,,
The Uranai 4,Visit,24th Aug 00,PS,,,,,
The Uranai 5,Visit,30th Nov 00,PS,,,,,
The Uranai 6,Visit,30th Nov 00,PS,,,,,
The Vanishing of Ethan Carter,The Astronauts,15th Jul 15,PS4,,,,,
The Vault of Darkness,Electronic Arts,17th May 04,PC,,,,,
The Very Hungry Caterpillar's ABCs,"CYBIRD Co.,Ltd",20th Sep 10,WW,,,,,
The Vision of Escaflowne,Bandai,25th Sep 97,PS,,,,,
The Visualizer,ShadowRage,03rd Oct 09,XBL,,,,,
The Void,Ice-pick Lodge,15th Dec 09,PC,,,,,
The Void,Ice-pick Lodge,15th Dec 09,OSX,,,,,
The Voyage,Unknown,01st Jul 14,And,,,,,
The Walking Dead Pinball,Zen Studios,28th Aug 14,And,,,,,
The Walking Dead: A Telltale Games Series,Unknown,24th Apr 12,OSX,,,,,
The Walking Dead: Michonne,Telltale Games,28th Feb 16,PS4,,,,,
The Walking Dead: Michonne,Telltale Games,28th Feb 16,PS3,,,,,
The Walking Dead: Michonne,Telltale Games,28th Feb 16,OSX,,,,,
The Walking Dead: Michonne,Telltale Games,28th Feb 16,And,,,,,
The Walking Dead: Michonne,Telltale Games,28th Feb 16,XOne,,,,,
The Walking Dead: No Man's Land,Next Gen Games,01st Jan 16,And,,,,,
The Walking Dead: Season Three,Telltale Games,31st Dec 20,XOne,,,,,
The Walking Dead: Season Three,Telltale Games,31st Dec 20,And,,,,,
The Walking Dead: Season Two,Unknown,01st Jan 14,Ouya,,,,,
The Walking Dead: Season Two,Unknown,01st Jan 14,OSX,,,,,
The Walking Dead: Survival Instinct,Terminal Reality,19th Mar 13,PC,,,,,
The Wall,Play Ten Interactive,,PS3,,,,,
The War of the Worlds,Other Ocean Interactive,26th Oct 11,XBL,,,,,
The War of the Worlds,Other Ocean Interactive,,PSN,,,,,
The Warriors,Rockstar Toronto,21st Oct 09,PSN,,,,,
The Warriors,Unknown,28th May 13,PS3,,,,,
The Warriors: Street Brawl,CTXM,23rd Sep 09,XBL,,,,,
The Waterhorse: Legend of the Deep,Atomic Planet Entertainment,14th Mar 08,PS2,,,,,
The Waterhorse: Legend of the Deep,Atomic Planet Entertainment,01st Feb 08,PC,,,,,
The Weakest Link,Traveller's Tales,02nd Nov 01,PS2,,,,,
The Weakest Link,Traveller's Tales,01st Oct 01,PC,,,,,
The Weaponographist,Puuba,29th Apr 15,PC,,,,,
The Weaponographist,Puuba,29th Apr 15,OSX,,,,,
The Weaponographist,Puuba,29th Apr 15,PC,,,,,
The Well at the World’s End,Lace Mamba Global,,Wii,,,,,
The Well at the World’s End,Lace Mamba Global,,DS,,,,,
The Wheel of Time,Legend Entertainment,31st Oct 99,PC,,,,,
The Wiggles: Wiggly Party,Playhouse Disney,,PC,,,,,
The Wild Thornberrys Movie,"Human Soft, Inc.",20th Sep 02,PC,,,,,
The Wild Thornberrys: Rambler,Vicarious Visions,31st Oct 00,GB,,,,,
The Will of Dr. Frankenstein,Enjoy Gaming,23rd Apr 10,WW,,,,,
The Witch's Yarn,Unknown,03rd Apr 14,OSX,,,,,
The Witch's Yarn,Unknown,03rd Apr 14,PC,,,,,
The Witcher Battle Arena,CD Projekt Red Studio,22nd Jan 15,And,,,,,
The Witness,Number None Inc.,01st Jan 70,PSN,,,,,
The Witness,Number None Inc.,01st Jan 70,XBL,,,,,
The Wizard of Oz,Seta Corporation,01st Jan 93,SNES,,,,,
The Wizard's Castle,International PC Owners,01st Jan 81,PC,,,,,
The Wizard's Pen,PopCap Games,16th Sep 08,PC,,,,,
The Wizard's Pen With Mystery P.I.: The Lottery Ticket,PopCap Games,28th Apr 09,PC,,,,,
