name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
FIFA 11,EA Canada,28th Sep 10,All,,,,,
Mass Effect,BioWare,20th Nov 07,Series,,,,,
The Sims,Maxis,04th Feb 00,All,,,,,
The Witcher 3: Wild Hunt,CD Projekt Red Studio,19th May 15,PC,0.91m,0.29m,0.55m,,0.07m
Grand Theft Auto V,Rockstar North,17th Sep 13,X360,15.86m,9.06m,5.33m,0.06m,1.42m
Call of Duty 4: Modern Warfare,Infinity Ward,05th Nov 07,All,,,,,
Call of Duty: World at War,Treyarch,11th Nov 08,All,,,,,
Pokémon Black / White Version,Game Freak,06th Mar 11,DS,15.18m,5.51m,3.20m,5.66m,0.80m
Need for Speed: Carbon,EA Canada,30th Oct 06,All,,,,,
Momotaro Dentetsu,Hudson Soft,02nd Dec 88,Series,,,,,
Ring Fit Adventure,Nintendo EPD,18th Oct 19,NS,,,,,
Call of Duty: Black Ops 3,Treyarch,06th Nov 15,PS4,15.09m,6.18m,6.05m,0.41m,2.44m
"Pokémon: Let's Go, Pikachu/Eevee",Game Freak,16th Nov 18,NS,,,,,
Counter-Strike: Source,Valve Software,16th Nov 04,PC,0.08m,,0.07m,,0.01m
Assassin's Creed IV: Black Flag,Ubisoft Montreal,29th Oct 13,All,,,,,
Backyard Sports,Humongous Entertainment,01st Jan 97,Series,,,,,
Barbie,Imagineering,01st Dec 91,Series,,,,,
Battlefield 3,EA DICE,25th Oct 11,All,,,,,
Burnout,Criterion Games,01st Nov 01,Series,,,,,
Dead Rising,Capcom,08th Aug 06,Series,,,,,
Famista,Namco,10th Dec 86,Series,,,,,
Gex,Crystal Dynamics,01st Apr 95,Series,,,,,
Just Cause,Avalanche Studios,27th Sep 06,Series,,,,,
Mario & Sonic at the Olympic Games,Sega Sports R&D,06th Nov 07,All,,,,,
Need for Speed: Underground,EA Black Box,17th Nov 03,All,,,,,
Red Dead Redemption,Rockstar San Diego,18th May 10,All,,,,,
Sonic the Hedgehog,Sonic Team,23rd Jun 91,GEN,4.34m,3.03m,0.91m,0.26m,0.13m
The Elder Scrolls Online,ZeniMax Online Studios,04th Apr 14,All,,,,,
Theme Park,Bullfrog Productions,01st Jun 94,All,,,,,
Pokémon Brilliant Diamond / Shining Pearl,Game Freak,19th Nov 21,NS,,,,,
Gran Turismo 3: A-Spec,Polyphony Digital,09th Jul 01,PS2,14.98m,6.85m,5.09m,1.87m,1.16m
Brain Age 2: More Training in Minutes a Day,Nintendo SDD,20th Aug 07,DS,15.29m,3.43m,5.36m,5.32m,1.18m
Call of Duty: Modern Warfare 3,Infinity Ward,08th Nov 11,X360,14.82m,9.07m,4.29m,0.13m,1.33m
New Super Mario Bros. U Deluxe,Nintendo EPD,11th Jan 19,NS,,,,,
Call of Duty: Black Ops,Treyarch,09th Nov 10,X360,14.74m,9.76m,3.73m,0.11m,1.14m
Pokémon Yellow: Special Pikachu Edition,Game Freak,19th Oct 99,GB,14.64m,5.89m,5.04m,3.12m,0.59m
Pokémon Legends: Arceus,Game Freak,28th Jan 22,NS,,,,,
Pokémon Omega Ruby/Pokémon Alpha Sapphire,Game Freak,21st Nov 14,3DS,12.73m,4.78m,3.98m,3.15m,0.82m
FIFA 13,EA Canada,25th Sep 12,All,,,,,
Grand Theft Auto III,Rockstar North,22nd Oct 01,All,,,,,
Halo 3,Bungie Studios,25th Sep 07,X360,12.13m,7.97m,2.81m,0.13m,1.21m
Lego Batman,TT Fusion,23rd Sep 08,Series,,,,,
Everybody's Golf,Camelot Software,30th Apr 98,Series,,,,,
Final Fantasy VII,Square,07th Sep 97,All,,,,,
Street Fighter II,Capcom,15th Feb 91,All,,,,,
Dead Island,Techland,06th Sep 11,Series,,,,,
Mafia,Illusion Softworks,29th Aug 02,Series,,,,,
NBA 2K20,Visual Concepts,06th Sep 19,All,,,,,
Star Wars Battlefront (2015),EA DICE,17th Nov 15,All,,,,,
Yo-kai Watch,Level 5,06th Nov 15,Series,,,,,
